Region,Description,AL,Capital,Ruler,Government,Languages,Religions,Location,Iconics,Reminds of,Known for,"Humans, common",Other races,"Classes, known for",Magic Schools,Pathfinder lodge,Slavery,Largest Market,Single Adventure (Best 2),Adventure Path
Absalom ,"CITY AT THE CENTER 
OF THE WORLD",N,"Absalom 
(303,900)",Lord Gyr of House Gixx,Grand Council,"Common, Osiriani, 
Kelish","Abadar, Aroden, Calistria, Cayden Cailean, 
Iomedae, Irori, Nethys, Norgorber, Sarenrae, Shelyn","Island east side of 
The Inner Sea",Ezren,"Jerusalem
Rhodes/Cyprus","Aroden
The Starstone","Garundi, Taldan, Tian, Vudrani, 
Tian","Gillman, Half-Orcs, Halfling, Kobold, Angelkin","Bard, Paladin, Rogue, Wizard, Swashbuckler, Pathfinder Chronicler, 
Brawler, Investigator","Arcanamirium, 
White Grotto","The Grand Lodge
The Tails","Yes, mostly
criminals","Absolom 
Limit 100k, Spell 8th","Hall of Drunken Heroes
School of Spirits",
Andoran,"BIRTHPLACE OF 
FREEDOM",NG,"Almas 
(76,600)","His Excellency 
Codwin I of Augustana","Fledgling 
democracy",Common,"Abadar, Aroden, Cayden Cailean, Erastil, Iomedae,
Shelyn","North coast of 
The Inner Sea","Valeros
Reiko*, Emil","Revolutionary 
America","Fights to stop slavery
Spreads FREEDOM","Cheliax, Taldan","Halfling, Gillman, Aasimar, Orc, Skinwalker, 
Changeling, Kobold, Hobgoblin","Paladin, Ranger, Cavalier, Skald, Slayer, Swashbuckler, Warpriest",,"Cathedral of 
Aroden, Augustana","No, forbidden","Almas
Limit 100k, Spell 8th","Realm of the Fellnight Queen
The Pallid Plague",
"Belkzen
(Hold of)","SAVAGE ORC 
HOMELAND",CE,"Urgir 
(28,700)",Prominent orc champions,"Numerous
tribal hordes",Orc,"Lamashtu, Rovagug, Zon-Kuthon","Between Varisia
and The Worldwound",Oloch,"Various 
Wildlands","Wildand controlled by orcs
Very dangerous",Shoanti,"Orc, Half-Orc, Plumekith, Hungerseed","Bloodrager, Brawler, Skald, Warpriest",,,Yes,"Urgir
Limit 100k, Spell 8th","From the Tome of Righteous Repose
Captive in Crystal",Giantslayer
Brevoy,"STRUGGLE BETWEEN 
FEUDING NOBLE HOUSES",CN,"New Stetven
(32,850)","King-Regent 
Noleski Surtova","Hereditary 
monarchy","Common, Draconic, 
Hallit, Skald, Varisian","Abadar, Gorum, Pharasma","North East Avistan,
East of Numeria",-,"Game of Thrones
/ England","Long deadly winters
Red Dragons allies","Taldan, Ulfen, Varisian","Dwarf, Dragons","Paladin, Bloodrager, Swashbuckler",,,,"New Stetven
Limit 100k, Spell 8th",The Horn of Aroden,Kingmaker
Cheliax,"DIABOLICAL EMPIRE 
IN DECLINE",LE,"Egorian 
(82,100)","Her Infernal Majestrix, 
Queen Abrogail II","Imperial bureaucracy 
of noble families","Common, Infernal","Abadar, Asmodeus, Erastil, Iomedae, Zon-Kuthon","Northwest coast of 
The Inner Sea","Seltyiel, Linxia,
Meligaster, Lem",Imperial Spain,"Devil worshippers, Thrune
Civil war broke their empire","Cheliax, Taldan","Orc, Tiefling, Skinwalker, Gnome, Halfling, 
Goblin, Strix, Ragebred, Emberkin","Alchemist, Bard, Rogue, Magus, Skald, Hellknight, 
Inquisitor, Investigator, Warpriest, Mesmerist","Citadel Enferac, 
Kintargo Opera House","Delvehaven
(Closed)",Yes,"Egorian
Limit 100k, Spell 8th","From Shore to Sea
Fury of the fiend","Council of Thieves, Hell's Rebels, Hell's Vengeance"
Darklands,"TRIPARTITE
UNDERGROUND WORLD",CE,None,None,"Scattered dictatorships, 
kingdoms, and theocracies","Aklo, Undercommon","Rovagug, archdevils, demon lords","Far far down below
the ground",-,Evil underworld,"Endless caves
Evil creatures",-,"Drow, Kobold, Dwarf, Duergar, Svirfneblin,
Ghoul, Hobgoblin, Trox, Tiefling, Skinwalker",Bloodrager,,,Yes,"Zirnakaynin
Limit 100k, Spell 8th",Captives of Toil,Ironfang Invasion
Druma,"MERCHANTS’ RELIGIOUS 
PARADISE",LN,"Kerse 
(18,300)",High Prophet Kelldor,Mercantile Oligarchy,"Common, Dwarven","Abadar, Torag, Prophecies of Kalistrade","West of Kyonin and 
Five Kings Mountains",-,Switzerland?,"Prophecies of Kalistrade
Wealth",Taldan,"Ratfolk, Tiefling",Prophet of Kalistrade,,,,"Kerse
Limit 50k, Spell 7th",Bid for Alabastrine ,
"Five Kings 
Mountains","FRACTURED 
DWARVEN NATION",LN,"Highhelm 
(39,917)",Gathering Council,"Loosely affiliated 
collection of monarchs",Dwarven,Torag,"Between Andoran, 
Druma and Kyonin",Shardra,Dwarflands,"Largest dwarven nation
Sky Citadels",-,"Dwarf, Kobold, Plumekith",Shaman,,,,"Highhelm
Limit 100k, Spell 8th",Down the Blighted Path,
Galt,"ETERNAL 
REVOLUTION",CN,"Isarn
(42,700)","Citizen Goss, Chairman 
of the Revolutionary Council",Revolutionary anarchy,"Common, Hallit","Calistria, Cayden Cailean, Erastil, 
Iomedae,Norgorber, Shelyn","East Avistan, north of 
Taldor","Quinn
Red Raven","Revolutionary 
France","Guillotines
Endless revolution","Cheliax, Taldan","Halfling, Kobold, Ragebred, Emberkin","Cavalier, Investigator, Swashbuckler",,Woodsedge Lodge,,"Isarn
Limit 100k, Spell 8th","The Silverhex Chronicles
Reaping What We Sow ",
Geb,"DOMAIN OF THE 
DEAD",LE,"Mechitar 
(42,000)","Geb,
Ghost necromancer dictator",Undead dictatorship,"Osiriani, Kelish","Nethys, Urgathoa, Zon-Kuthon","East Garund, south of 
the Mana Wastes",Nyctessa,Undead Egypt,"Immortal Wizard Geb
Undead nation",Garundi,"Undead, Vampire, Kobold, Dhampir","Sorcerer, Magus, Arcanist",,,"Yes, 
undead slaves","Mechitar
Limit 100k, Spell 8th",You Only Die Twice,
Irrisen,"LAND OF 
ETERNAL WINTER",NE,"Whitethrone 
(24,900)",Queen Elvanna,Monarchy,"Hallit, Skald","Lamashtu, Zon-Kuthon","North Avistan, north
of Varisia",-,Magical Russia,"Baba Yaga
White witches",Ulfen,"Kitsune, Changeling, Elf, Goblin","Witch, Winter witch",,,Yes,"Whitethrone
Limit 50k, Spell 7th","The Witchwar Legacy
The Frostfur Captives",Reign of Winter
Isger,THRALL OF CHELIAX,LN,"Elidir 
(11,900)","Hedvend VI, 
Steward of Isger",Vassal State of Cheliax,Common,"Asmodeus, Erastil, diabolism","East of Cheliax, 
West of Druma",Estra,"Poland/Ukraine?
Vassal state","Goblinblood Wars
Plague of undead","Cheliax, Taldan","Orc, Tiefling, Halfling, Gnome, Goblin, 
Hobgoblin, Hellspawn",Slayer,,,,"Elidir
Limit 50k, Spell 7th","Gallows of Madness
Doom Comes to Dustpawn",
Jalmeray,"KINGDOM OF THE 
IMPOSSIBLE",CN,"Niswan 
(10,300)","Kharswan, 
Thakur of Jalmeray",Colonial Princely State,Vudrani,"Irori, Nethys, numerous Vudran religions","Island east of Garund 
and Nex/Geb",-,"Arabian Nights
/ Little India","Genie servants
Skilled Irori monks",Vudrani,"Nagaji, Skinwalker, Genikin, Vishkanya, 
Vanara, Fanglord, Spitespawn","Monk, Brawler, Psychic, Kineticist",,Niswan,Yes,"Niswan
Limit 50k, Spell 7th","Cult of the Ebon Destroyers
The Segang Expedition",
Katapesh,"BAZAAR OF 
THE BIZARRE",N,"Katapesh 
(212,300)","The Pactmasters 
of Katapesh",Anarchic plutocracy,"Common, Kelish, 
Osiriani, Vudrani, Tien","Abadar, Irori, Nethys, Sarenrae","East of Garund, 
South of Osirion",Seelah,"Middle eastern 
trading hub","Sells everything
All kind of buyers","Garundi, Keleshite, Tian, Vudrani","Ratfolk, Vanara, Aasimar, Genikin, Gnome, 
Half-Orc, Wyvaran, Gnoll, Tiefling","Bard, Rogue, Summoner, Brawler, Investigator",,Katapesh,Yes,"Katapesh
Limit 100k, Spell 8th","Broken Chains 
The Ghenett Manor Gauntlet",Legacy of Fire
Kyonin,"KINGDOM OF 
THE ELVES",CG,"Iadara 
(56,340)",Queen Telandia Edasseril,Monarchy,Elven,"Calistria, Desna, Nethys, several 
obscure elven deities","North of Five Kings 
Mountains",Damiel ,"Beautiful elf lands
Forest & waterfalls","Standoffish realm
Elves and gnomes only",-,"Elf, Gnome, Tiefling, Idyllkin","Bard, Ranger, Wizard, Magus, Hunter, Arcane archer, 
Brightness seeker",,,,"Iadara
Limit 100k, Spell 8th",The Elven Entanglement,
Lastwall,"WATCHFUL 
BORDER NATION",LG,"Vigil 
(9,780)",Watcher-Lord Ulthun II,Military Dictatorship,"Common, Varisian","Gorum, Iomedae","Southeast of Hold of 
Belkzen",-,Crusader state,"Crusade against orcs
Their heavy cavalry","Taldan, Varisian","Orc, Aasimar, Lawbringer","Paladin, Cavalier, Skald, Warpriest",,"Vigil
Vellumis",,"Vellumis
Limit 50k, Spell 7th","Daughters of Fury
From the Tome of Righteous Repose",
"Lands of the
Linnorm Kings","FRIGID VIKING 
HOMELAND",CN,"Kalsgard 
(72,080)","Ingimundr, Opir, Sveinn,
White Estrid","Loose confederation of 
barbaric tribal monarchies",Skald,"Desna, Erastil, Gorum, Torag","Northwest Avistan, 
Northwest of Varisia","Feiya
Lini, Hakon","Scandinavia
Vikings","Rifts to the First World
Trade & plunder","Shoanti, Tian, Ulfen, Varisian","Kitsune, Gnome, Fey, Dwarf, Elf, Skinwalker, 
Changeling, Kobold, Werebear, Idyllkin","Barbarian, Bloodrager, Shaman, Skald, Medium
Brawler, Hunter",,Kalsgard,,"Kalsgard
Limit 100k, Spell 8th","Curse of the Riven Sky 
From Under Ice",
"Mammoth Lords
(Realm of the)","LOST LAND OF THE 
DISTANT NORTH",N,None,"Mighty Kuldor, Herdsman of 
the Bearpelt Following","Loose alliance of primitive, 
mostly human, tribes","Giant, Hallit","Desna, Gorum, Rovagug","North Avistan, north of 
Hold of Belkzen",Amiri,"Ice age prehistory
Caveman land","Prehistoric beasts
Rumored Inner world","Kellid, Tian","Kitsune, Orc, Changeling, Half-Orc, Kobold","Barbarian, Bloodrager, Shaman, 
Hunter",,,"Yes, 
enslaves giants","Icestair
Limit 50k, Spell 7th","Where Mammoths Dare Not Tread
The Sealed Gate",
"Mana 
Wastes","MAGIC-DEAD 
WASTELAND",LN,"Alkenstar 
(53,600)","Grand Duchess 
Trietta Ricia",Constitutional monarchy,"Dwarven, Kelish, 
Osiriani","Abadar, Erastil, Irori, Torag","East Garund, between
Nex and Geb",Lirianne,"Old-West 
steampunky land","Produces most firearms
Mutated creatures","Keleshite, Garundi","Dwarf, Goblin, Kobold, Mutant, Wyvaran","Alchemist, Gunslinger, Slayer",,,,"Alkenstar
Limit 100k, Spell 8th","Wardens of the Reborn Forge
The Twisted Circle",
"Mediogalti
Island","LAIR OF THE 
RED MANTIS",LE,"Ilizmagorti 
(20,500)",Blood Mistress Jakalyn,"Secret society 
of assassins","Common, Infernal","Achaekek, Besmara, Norgorber","Island west of Garund
West of the big storm",-,"Tropical jungle
Island","Red Mantis Assassins
Dinosaurs",Cheliax and Taldan?,"Skinwalker, Goblin, Vishkanya, Kobold","Inquisitor, Slayer, Swashbuckler, Warpriest, Occultist, 
Red Mantis assassin",Crimson Citadel,,,"Ilizmagorti
Limit 50k, Spell 7th",-,
